Period,Passenger,GDP,Population
1/1/2006,4560756348,60994370,6611696
1/1/2007,4908388831,63571790,6693580
1/1/2008,4923148695,64786270,6776098
1/1/2009,4832530008,63629480,6858496
1/1/2010,5282775193,66415110,6941248
1/1/2011,5654990744,68548300,7024048
1/1/2012,5991817424,70249140,7108029
1/1/2013,6392539696,72079680,7193107
1/1/2014,6778574849,74103710,7278136
1/1/2015,7232229191,76159300,7360282
1/1/2016,7712458503,78091410,7444587
1/1/2017,8298863003,80600340,7528184
1/1/2018,8839491189,83056220,7611536
1/1/2019,9155145787,85012310,7693499
1/1/2020,,82084330,7773787
1/1/2021,,87006610,7853534
1/1/2022,,89641680,7932355
1/1/2023,,91669540,8010128
1/1/2024,,93382260,8086800
1/1/2025,,96030220,8162399
1/1/2026,,98872030,8237484
1/1/2027,,101601800,8311435
1/1/2028,,104249300,8384303
1/1/2029,,106838000,8456150
1/1/2030,,109322800,8527016
1/1/2031,,111745500,8597310
1/1/2032,,114163900,8666558
1/1/2033,,116581100,8734685
